learning_rate,momentum,epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70,epoch_80,epoch_90,epoch_100,Test
0.05,0.0,0.7577600838695087,0.7834171727835397,0.8591130314476645,0.8687679618608068,0.8688344567473496,0.8857377586313795,0.8954441754210641,0.8986749090615292,0.8931132949855674,0.9059891912071507,0.8981352381628847
0.01,0.0,0.643650407617155,0.7470999856985274,0.7972345001305593,0.8202621964099922,0.818639846901118,0.8223598280506398,0.840671678932385,0.8551666951495216,0.8583069031802134,0.8528965903645981,0.85288766954019320.005,0.0,0.5889367135841085,0.6640978559930175,0.7430913974236062,0.769880638308876,0.7918067429611491,0.8066932432794844,0.820281563451933,0.8258040324617731,0.791933275315875,0.8444374282013823,0.8386111543444402
0.001,0.0,0.38942648885167,0.45251198950946747,0.5208162222400736,0.5760014484753342,0.5939184999972548,0.6252708000315069,0.6418650477096441,0.6657669741274524,0.6729225173122301,0.6968135877189479,0.6943458945944669
0.005,0.0,0.5889367135841085,0.6640978559930175,0.7430913974236062,0.769880638308876,0.7918067429611491,0.8066932432794844,0.820281563451933,0.8258040324617731,0.791933275315875,0.8444374282013823,0.8386111543444402
0.05,0.6,0.8346080696441671,0.8602675942113732,0.8688768753921945,0.890106688539144,0.8926945241293225,0.9004450043147523,0.9103557063549544,0.9097034935493055,0.906222557392106,0.9160013644007566,0.9161195506331999
0.01,0.6,0.7560822449364948,0.8189706123679743,0.8473649495153002,0.858277588220683,0.8601115288811216,0.8648284959653425,0.8863996999951386,0.8868851059894872,0.8833168647427228,0.8885450182271988,0.8801361147867107
0.005,0.6,0.6697829129722005,0.762478024556284,0.8223070497695231,0.8453306475300671,0.8477327686805832,0.8507926215510009,0.8653031556148765,0.8544991482005526,0.879723236859542,0.8724028018141278,0.8692411837142446
0.001,0.6,0.4708532109113618,0.5959444854198485,0.6306244603988764,0.6991632042211667,0.7163034656404499,0.7514413757757046,0.7554355177263623,0.7865674246511295,0.789144378447978,0.8042132647620693,0.7977174281037746
0.05,0.9,0.840757463935242,0.8927760580743376,0.8970016486167591,0.909873256390016,0.9081345456505678,0.9185445087722007,0.915991081471844,0.9212412612228164,0.9239795810651256,0.9278731261953677,0.9193440341235497
0.01,0.9,0.8262949011619594,0.8509540425780179,0.8795027189034297,0.8912579477823647,0.900706560959098,0.9079713493186151,0.9038432281711224,0.9096551875422086,0.9134423489164598,0.908201213700164,0.9061477208411055
0.005,0.9,0.7964663947598836,0.8521931209624259,0.8629487071941405,0.8796592866317188,0.8665833733603054,0.8845016482894333,0.8973351449742879,0.897088311727791,0.8997638961236417,0.8986323029993001,0.8990487553329783
0.001,0.9,0.6413721847495124,0.7529178332624465,0.802085986342831,0.8292540627616167,0.8358725819118948,0.8453075742989471,0.8537560256188392,0.8489503548470922,0.8599998831708662,0.8590680520528181,0.8580433149452921
0.05,0.99,0.8046997240631126,0.8670392734264372,0.8882571387138121,0.9018765043361399,0.909246676730293,0.9114647069743466,0.9098828995334245,0.9115278431989365,0.9074668366661017,0.9175899633400318,0.9107102835559872
0.01,0.99,0.8416152072119882,0.87982094211623,0.8952329675074276,0.9089394233118178,0.9146813218545274,0.9144655579777392,0.9147447865780658,0.912801827225947,0.9156829160653593,0.9178850504673461,0.9167799037392952
0.005,0.99,0.8398774307074939,0.8848223587222295,0.8931248035678566,0.9033592625830666,0.9168970873539534,0.9120942828232289,0.9158761450594826,0.9177487890218614,0.9186267265516518,0.9152710332650645,0.9121589045265092
0.001,0.99,0.8134649849423312,0.8618581994943897,0.8860327529282076,0.8969193037136343,0.8991894743215456,0.9032418771366595,0.9117782667099176,0.9075396170715726,0.9085302667578665,0.910998691769537,0.9101387485745663
